what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1316074587416
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1316074587417
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1316074587418
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1316074587419
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1316074587419
started,bundle,org.eclipse.equinox.preferences,3.4.0.v20110502,"org.eclipse.equinox.preferences",1316074587420
started,bundle,org.eclipse.equinox.registry,3.5.100.v20110502,"org.eclipse.equinox.registry",1316074587421
started,bundle,org.eclipse.equinox.security,1.1.0.v20110502,"org.eclipse.equinox.security",1316074587422
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1316074587423
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1316074587424
started,bundle,org.eclipse.jdt.core,3.7.0.v_B61,"org.eclipse.jdt.core",1316074587425
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1316074587426
started,bundle,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui",1316074587430
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1316074587432
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1316074587433
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1316074587433
started,bundle,org.eclipse.jst.j2ee.ui,1.1.500.v201104151900,"org.eclipse.jst.j2ee.ui",1316074587435
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1316074587436
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1316074587437
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1316074587438
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1316074587439
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1316074587440
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1316074587441
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1316074587441
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1316074587441
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1316074587442
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1316074587444
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1316074587444
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1316074587446
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1316074587447
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1316074587448
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1316074587449
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1316074587450
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1316074587451
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1316074587452
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1316074587454
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1316074587455
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1316074587457
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1316074587458
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1316074587459
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1316074587460
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1316074587460
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1316074587462
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1316074587463
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1316074587464
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1316074587465
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1316074587466
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1316074587468
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1316074587469
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1316074587470
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1316074587471
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1316074587473
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1316074587474
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1316074587476
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1316074587476
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1316074587477
os,sysinfo,,,"win32",1316074587482
arch,sysinfo,,,"x86_64",1316074587482
ws,sysinfo,,,"win32",1316074587482
locale,sysinfo,,,"no_NO",1316074587482
processors,sysinfo,,,"8",1316074587482
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1316074587482
java.runtime.version,sysinfo,,,"1.6.0_27-b07",1316074587482
java.specification.name,sysinfo,,,"Java Platform API Specification",1316074587482
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1316074587482
java.specification.version,sysinfo,,,"1.6",1316074587482
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1316074587482
java.version,sysinfo,,,"1.6.0_27",1316074587482
java.vm.info,sysinfo,,,"mixed mode",1316074587482
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1316074587482
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1316074587482
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1316074587482
java.vm.specification.version,sysinfo,,,"1.0",1316074587482
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1316074587482
java.vm.version,sysinfo,,,"20.2-b06",1316074587482
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316074589748
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316074592341
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1316074594914
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1316074594938
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1316074594999
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316074601244
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316074939535
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316074948789
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1316074951606
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1316074951658
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1316075200329
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.300.v201011231608,"org.eclipse.jst.ws.jaxrs.core",1316075200334
started,bundle,org.eclipse.jst.servlet.ui,1.1.500.v201105122000,"org.eclipse.jst.servlet.ui",1316075200559
started,bundle,org.eclipse.wst.jsdt.core,1.1.100.v201104272153,"org.eclipse.wst.jsdt.core",1316075200749
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1316075200855
started,bundle,org.eclipse.wst.jsdt.ui,1.1.100.v201105041953,"org.eclipse.wst.jsdt.ui",1316075200856
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1316075200930
started,bundle,org.eclipse.wst.common.modulecore,1.2.100.v201105191800,"org.eclipse.wst.common.modulecore",1316075200936
started,bundle,org.eclipse.jst.j2ee.core,1.2.100.v201105122000,"org.eclipse.jst.j2ee.core",1316075200944
started,bundle,org.eclipse.jem,2.0.500.v201104271400,"org.eclipse.jem",1316075200967
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1316075201002
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1316075201008
started,bundle,org.eclipse.wst.validation,1.2.300.v201104190230,"org.eclipse.wst.validation",1316075201028
started,bundle,org.eclipse.jst.j2ee,1.1.500.v201105122000,"org.eclipse.jst.j2ee",1316075201065
started,bundle,org.eclipse.jst.jee.ui,1.0.400.v201105122000,"org.eclipse.jst.jee.ui",1316075201065
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.500.v201012020700,"org.eclipse.jst.j2ee.navigator.ui",1316075201089
started,bundle,org.eclipse.jpt.common.core,1.0.0.v201105180000,"org.eclipse.jpt.common.core",1316075204032
started,bundle,org.eclipse.jpt.jpa.core,3.0.0.v201105250001,"org.eclipse.jpt.jpa.core",1316075204033
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1316075212748
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1316075212758
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316075225524
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1316075225927
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1316075225930
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1316075225933
opened,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1316075225990
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1316075226060
opened,view,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui.views.tasks",1316075226432
activated,perspective,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1316075226473
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1316075226481
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1316075226615
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1316075230925
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1316075231962
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1316075231966
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1316075232741
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1316075232748
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316075236319
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1316075476112
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316075477337
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1316075478415
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1316075478616
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1316075478917
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1316075495448
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316075496609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316075517497
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316075518017
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316075518522
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1316075530650
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316075539118
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316075682252
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316075734018
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316075747794
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316075767300
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316075775919
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316075776551
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316075793416
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316075846396
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316075858999
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1316075860595
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316075939790
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316075975059
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316075989241
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316075994831
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316075997974
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076028285
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076038334
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076050991
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076064102
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076072898
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316076076065
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076086732
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076090860
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076091653
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076092341
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316076097172
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1316076106345
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1316076107441
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316076108491
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1316076122353
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1316076125506
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316076126375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076130767
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076134174
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.0.v201105180000,"org.eclipse.jpt.jaxb.ui",1316076141816
started,bundle,org.eclipse.jpt.jpa.ui,3.0.0.v201105170000,"org.eclipse.jpt.jpa.ui",1316076141843
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1316076141883
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1316076141897
started,bundle,org.eclipse.pde.api.tools,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools",1316076141965
started,bundle,org.eclipse.pde.api.tools.ui,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools.ui",1316076141967
started,bundle,org.eclipse.jpt.jaxb.core,1.0.0.v201105240000,"org.eclipse.jpt.jaxb.core",1316076142145
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316076156149
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316076175559
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316076181431
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1316076189467
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1316076192849
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1316076193041
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1316076193163
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1316076198491
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1316076198937
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1316076207155
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1316076210878
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316076246624
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1316076247222
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1316076255678
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1316076255713
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1316076255775
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1316076258357
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1316076261968
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316076264874
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1316076266029
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316076280341
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1316076281760
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1316076287912
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1316076287984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1316076317732
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316076318745
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316076327624
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1316076328198
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1316076329863
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1316076345081
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1316076349406
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1316076352628
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076374831
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076422684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076446403
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076497779
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076507913
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076610535
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076616682
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076617361
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1316076620738
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076630376
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076630538
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316076633762
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076638141
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076638274
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316076644714
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076648716
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076662336
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076667729
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076670267
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076679584
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076681382
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316076683607
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1316076702511
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1316076702651
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076714510
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076714628
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076725752
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076733151
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1316076743023
